"旅次日期","旅次時段.Ex..12表示為12時00分至12時59分.","票證分類..N.IC..非電子票證..IC..電子票證.","電子票證卡種","持卡身分","搭乘路線代碼","搭乘路線名稱","附屬路線唯一代碼","附屬路線中文名稱","路線方向.0.去程.1.返程.","起站.站牌代碼","起站.站牌名稱","迄站.站牌代碼","迄站.站牌名稱","載客量","資料代表日期.yyyy.MM.dd."
"2023-01-14","10","IC","EasyCard","C01","ILA0350","1799","ILA035001","1799","0","ILA244842","湧泉","ILA235587","永春里","1","2023-01-14"
"2023-01-14","15","IC","EasyCard","C01","ILA0017","綠17","ILA001701","綠17","0","ILA297078","羅東轉運站","ILA301904","落羽松秘境","2","2023-01-14"
"2023-01-14","7","IC","EasyCard","A","ILA0011","紅1","ILA001101","紅1","0","ILA297142","礁溪國小","ILA297186","北門","2","2023-01-14"
"2023-01-14","18","IC","iPASS","C01","ILA0011","紅1","ILA001101","紅1","0","ILA297137","礁溪湯圍溝","ILA297194","幸福轉運站","1","2023-01-14"
"2023-01-14","8","IC","iPASS","C01","ILA0345","1794","ILA0345C2","1794C","1","ILA235240","萬貴","ILA301830","聖母醫院","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","A","ILA0012","紅2","ILA001202","紅2","1","ILA297083","羅東夜市(中山公園)","ILA297199","蘭陽女中","2","2023-01-14"
"2023-01-14","9","IC","EasyCard","C01","ILA0784","1790","ILA078401","1790","0","ILA234887","竹安","ILA234890","防閘門","1","2023-01-14"
"2023-01-14","17","IC","EasyCard","A","ILA0281","281","ILA028102","281","1","ILA290433","仁山植物園","ILA290082","羅東後火車站(羅東轉運站)","1","2023-01-14"
"2023-01-14","8","IC","iPASS","C01","ILA0012","紅2","ILA001201","紅2","0","ILA297270","冬山國中","ILA297211","南方澳","1","2023-01-14"
"2023-01-14","18","IC","EasyCard","A","ILA0112","112","ILA011201","112","0","ILA291092","湯圍溝(仁愛路)","ILA297017","礁溪轉運站","1","2023-01-14"
"2023-01-14","17","IC","iPASS","C01","ILA0348","1797","ILA034801","1797","0","ILA234937","五結","ILA263062","親水公園","1","2023-01-14"
"2023-01-14","18","IC","EasyCard","C01","ILA0349","1798","ILA0349A2","1798A","1","ILA116026","三星一站","ILA307866","羅東轉運站","2","2023-01-14"
"2023-01-14","11","IC","iPASS","B","ILA0013","綠12","ILA001301","綠12","0","ILA302580","宜蘭中山公園","ILA300238","員山鄉公所(員山公園)","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","C01","ILA0011","紅1","ILA001101","紅1","0","ILA297133","礁溪轉運站","ILA297188","第一銀行","1","2023-01-14"
"2023-01-14","8","IC","EasyCard","A","ILA0348","1797","ILA034802","1797","1","ILA235000","福德路","ILA235033","羅東火車站","1","2023-01-14"
"2023-01-14","6","IC","EasyCard","C01","ILA0624","1792","ILA062402","1792","1","ILA116023","天送埤","ILA235095","廣安路","1","2023-01-14"
"2023-01-14","10","IC","iPASS","A","ILA0011","紅1","ILA001101","紅1","0","ILA297142","礁溪國小","ILA297194","幸福轉運站","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","C02","ILA0011","紅1","ILA001102","紅1","1","ILA297195","幸福轉運站","ILA297136","礁溪湯圍溝","1","2023-01-14"
"2023-01-14","8","IC","iPASS","C01","ILA0012","紅2","ILA001202","紅2","1","ILA297072","蘇澳國中","ILA297238","博愛醫院","1","2023-01-14"
"2023-01-14","10","IC","icash","B","ILA0011","紅1","ILA001101","紅1","0","ILA299027","二城國小","ILA297129","二城","1","2023-01-14"
"2023-01-14","15","IC","iPASS","A","ILA0018","綠18","ILA001801","綠18","0","ILA302489","大福海濱遊憩區","ILA294138","烏石港站","1","2023-01-14"
"2023-01-14","7","IC","EasyCard","A","ILA0346","1795","ILA0346B1","1795B","0","ILA307864","羅東轉運站","ILA235277","廣興國小","1","2023-01-14"
"2023-01-14","13","IC","EasyCard","C02","ILA0012","紅2","ILA001202","紅2","1","ILA297232","復興路口","ILA297197","綠九市場","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","A","ILA0012","紅2","ILA001201","紅2","0","ILA297023","宜蘭轉運站","ILA297228","竹林","1","2023-01-14"
"2023-01-14","6","IC","iPASS","C01","ILA0783","1785","ILA078302","1785","1","ILA115784","員山機堡","ILA302595","宜蘭中山公園","1","2023-01-14"
"2023-01-14","8","IC","EasyCard","C01","ILA0346","1795","ILA0346B2","1795B","1","ILA235293","大進國小","ILA235033","羅東火車站","1","2023-01-14"
"2023-01-14","7","IC","iPASS","C01","ILA0784","1790","ILA078401","1790","0","ILA234890","防閘門","ILA115497","頭城站","1","2023-01-14"
"2023-01-14","10","IC","EasyCard","C02","ILA0012","紅2","ILA001201","紅2","0","ILA297237","博愛醫院","ILA297259","砂港","1","2023-01-14"
"2023-01-14","18","IC","iPASS","C01","ILA0012","紅2","ILA001202","紅2","1","ILA297211","南方澳","ILA297083","羅東夜市(中山公園)","1","2023-01-14"
"2023-01-14","13","IC","EasyCard","C01","ILA0583","綠19","ILA058302","綠19","1","ILA304637","頭城站","ILA299137","礁溪轉運站","1","2023-01-14"
"2023-01-14","11","IC","EasyCard","C01","ILA0012","紅2","ILA001201","紅2","0","ILA297023","宜蘭轉運站","ILA297222","石油公司","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","C01","ILA0011","紅1","ILA001101","紅1","0","ILA297140","礁溪電池廠","ILA297194","幸福轉運站","2","2023-01-14"
"2023-01-14","14","IC","EasyCard","A","ILA0012","紅2","ILA001201","紅2","0","ILA297198","蘭陽女中","ILA297081","羅東夜市(中山公園)","1","2023-01-14"
"2023-01-14","15","IC","EasyCard","A","ILA0011","紅1","ILA001101","紅1","0","ILA297133","礁溪轉運站","ILA297194","幸福轉運站","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","A","ILA0012","紅2","ILA001201","紅2","0","ILA297198","蘭陽女中","ILA297081","羅東夜市(中山公園)","1","2023-01-14"
"2023-01-14","7","IC","iPASS","C01","ILA0343","1791","ILA034301","1791","0","ILA234956","成興","ILA244874","進安宮","1","2023-01-14"
"2023-01-14","13","IC","EasyCard","C02","ILA0011","紅1","ILA001102","紅1","1","ILA297163","四城","ILA297133","礁溪轉運站","1","2023-01-14"
"2023-01-14","8","IC","iPASS","C01","ILA0343","1791","ILA034302","1791","1","ILA235001","龍德里","ILA235032","電信局","1","2023-01-14"
"2023-01-14","13","IC","EasyCard","C02","ILA0583","綠19","ILA058302","綠19","1","ILA304655","新港(大溪漁港)","ILA299137","礁溪轉運站","1","2023-01-14"
"2023-01-14","17","IC","EasyCard","C01","ILA0346","1795","ILA034602","1795","1","ILA235301","梅花路","ILA307866","羅東轉運站","1","2023-01-14"
"2023-01-14","15","IC","iPASS","C01","ILA0788","1788","ILA078801","1788","0","ILA303088","宜蘭火車站(光復路)","ILA234811","上大福","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","C09","ILA0583","綠19","ILA058302","綠19","1","ILA306171","馬崗 (三貂角燈塔)","ILA304651","北關(北關海潮公園)","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","A","ILA0624","1792","ILA062402","1792","1","ILA116026","三星一站","ILA241571","大坑","1","2023-01-14"
"2023-01-14","17","IC","iPASS","C01","ILA0788","1788","ILA078801","1788","0","ILA234746","宜蘭教會","ILA247587","壯圍鄉公所","1","2023-01-14"
"2023-01-14","13","IC","EasyCard","C09","ILA0112","112","ILA011201","112","0","ILA296014","礁溪轉運站","ILA296901","協天廟","1","2023-01-14"
"2023-01-14","10","IC","iPASS","B","ILA0343","1791","ILA034301","1791","0","ILA307864","羅東轉運站","ILA234929","電信局","1","2023-01-14"
"2023-01-14","8","IC","iPASS","B","ILA0348","1797","ILA034802","1797","1","ILA307523","馬賽國小","ILA235032","電信局","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","B","ILA0011","紅1","ILA001101","紅1","0","ILA302579","烏石港轉運站","ILA297137","礁溪湯圍溝","2","2023-01-14"
"2023-01-14","8","IC","EasyCard","C01","ILA0011","紅1","ILA001101","紅1","0","ILA297162","四城","ILA297188","第一銀行","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","A","ILA0624","1792","ILA062402","1792","1","ILA235084","田心仔","ILA307866","羅東轉運站","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","B","ILA0012","紅2","ILA001202","紅2","1","ILA297211","南方澳","ILA297086","羅東轉運站","1","2023-01-14"
"2023-01-14","12","IC","iPASS","A","ILA0345","1794","ILA0345C1","1794C","0","ILA234929","電信局","ILA235219","萬貴","1","2023-01-14"
"2023-01-14","15","IC","EasyCard","A","ILA0788","1788","ILA078801","1788","0","ILA234746","宜蘭教會","ILA308136","過嶺活動中心","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","A","ILA0012","紅2","ILA001202","紅2","1","ILA297240","東興","ILA297086","羅東轉運站","1","2023-01-14"
"2023-01-14","12","IC","iPASS","C01","ILA0017","綠17","ILA001701","綠17","0","ILA297078","羅東轉運站","ILA301906","三星青蔥文化館","1","2023-01-14"
"2023-01-14","6","IC","EasyCard","C01","ILA0343","1791","ILA034301","1791","0","ILA302879","蘇澳轉運站","ILA268973","江夏路","1","2023-01-14"
