RouteUID,RouteID,RouteNameZh_tw,RouteNameEn,OperatorID,OperatorNameZh_tw,OperatorNameEn,OperatorCode,OperatorNo,SubRouteUID,SubRouteID,SubRouteNameZh_tw,SubRouteNameEn,Direction,City,CityCode,StopUID,StopID,StopNameZh_tw,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,GeoHash,StationID,StationGroupID,LocationCityCode
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299054","299054","河濱公園","Riverside Park",0,8,24.764166,121.754738,"wsqsfs5je","131256","260－112","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297182","297182","新生里","Xinsheng Village",0,9,24.768015,121.756123,"wsqsfsuh5","131257","260－111","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297172","297172","吳沙路","Wusha Rd.",0,10,24.77354,121.7579,"wsqsftvkk","133945","260－160","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297170","297170","台富","Taifu",0,11,24.776343,121.758829,"wsqsfwqhd","133943","260－159","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297168","297168","茭白里","Jiaobai Village",0,12,24.77965,121.75975,"wsqsfwyxz","133941","260－158","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297165","297165","一結","Yijie",0,13,24.78239,121.76058,"wsqsfxrrg","133939","260－157","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297163","297163","四城","Sicheng",0,14,24.78716,121.76176,"wsqt4b25w","133937","262－129","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297161","297161","玉光村","Yuguang Village",0,15,24.790796,121.762238,"wsqt4c08c","133935","262－128","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297159","297159","公埔","Gongpu",0,16,24.79321,121.76293,"wsqt4c3nc","133933","262－127","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297157","297157","白鵝村","Baie Village",0,17,24.799125,121.76444,"wsqt4fd1m","133931","262－126","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297155","297155","番割田","Fangetian",0,18,24.80172,121.76508,"wsqt4g48k","133929","262－125","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297153","297153","三民村","Sanmin Village",0,19,24.80523,121.7658,"wsqt4gehu","133927","262－124","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297149","297149","十六結","Shiliujie",0,20,24.809559,121.767233,"wsqt4uknn","131275","262－097","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297147","297147","礁溪國中","Jiaoxi Junior High school",0,21,24.817395,121.768304,"wsqt4vugz","129930","262－085","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297145","297145","協天廟","Xietian Temple",0,22,24.818813,121.76881,"wsqt4yjk4","131276","262－096","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297143","297143","礁溪國小","Jiaoxi Elementary School",0,23,24.82107,121.76965,"wsqt4ytcn","131013","262－013","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297141","297141","礁溪電池廠","Jiaoxi Battery Factory",0,24,24.82454,121.7709,"wsqt4znv7","133925","262－098","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297136","297136","礁溪湯圍溝","Jiaoxi Tangweigou",0,25,24.82839,121.77333,"wsqt5pbeu","133922","262－089","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297133","297133","礁溪轉運站","Jiaoxi Bus Station",0,26,24.830982,121.777881,"wsqt707fy","133177","262－073","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299032","299032","玉石村","Yushi Village",0,27,24.833505,121.78024,"wsqt70v9t","129865","262－071","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299051","299051","白石腳","Baishijiao",0,28,24.83551,121.78285,"wsqt71pt6","131145","262－019","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299030","299030","白雲路","Baiyun Rd.",0,29,24.836812,121.786885,"wsqt736sb","129866","262－072","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297132","297132","頭城交流道","Toucheng IC.",0,30,24.837169,121.787954,"wsqt737qc","133920","261－155","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297272","297272","二城","Ercheng",0,31,24.83857,121.79331,"wsqt73xpj","133918","261－136","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299028","299028","中崙","Zhonglun",0,32,24.841542,121.80176,"wsqt7dm26","132371","261－046","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299026","299026","二城國小","Ercheng Elementary School",0,33,24.84424,121.80561,"wsqt7fb0h","129868","261－077","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299024","299024","頂埔","Dingpu",0,34,24.84552,121.8082,"wsqt7ffp8","129869","261－078","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299022","299022","實踐農村","Shijian Rural Village",0,35,24.84721,121.81254,"wsqt7gm1m","129870","261－079","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299021","299021","頭城家商","Toucheng Vocational Senior High School",0,36,24.84965,121.81563,"wsqt7gxrt","129871","261－080","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297128","297128","青雲路","Qingyun Rd.",0,37,24.85544,121.82359,"wsqtkhv1r","133916","261－154","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297126","297126","頭城站","Toucheng Station",0,38,24.85858,121.82603,"wsqtkjr58","133914","261－153","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299280","299280","頭城國小","Toucheng Elementary school",0,39,24.862545,121.828702,"wsqtkq0fy","135674","261－160","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA299278","299278","武營橋","Wuying Bridge",0,40,24.866028,121.829589,"wsqtkq9x5","135672","261－159","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA290873","290873","蘭陽博物館","LanYang Museum",0,41,24.869536,121.832601,"wsqtkr7g9","129879","261－083","ILA"
"ILA0011","0011","紅1","紅1","45","國光客運","Kuo-Kuang Bus Co., Ltd.","KuoKuangBus","1101","ILA001102","001102","紅1","紅1",1,"YilanCounty","ILA","ILA297122","297122","外澳","Waiao",-1,42,24.871039,121.839543,"wsqtkx8u7","133910","261－151","ILA"
